"X97" "X103" "X104" "X107" "X108" "X109" "X110" "X112" "X125" "X133" "X153" "X154" "X155" "X156" "X157" "X171" "X177" "X179" "X214" "X229" "X249" "X274" "X1007" "X1009" "X1010" "X1657" "X2006" "X2007" "X2026" "X2035" "X2051" "X2053" "X2057" "X2058" "X2060" "X2089" "X2090"
"Celtis_laevigata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
"Celtis_occidentali" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 3 3 0 0 0 0 0 0
"Cercis_canadensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 15 0 0 6 0
"Ceris_canadensis" 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clethra_acuminata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cornus_alternifoli" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cornus_florida" 21 0 0 0 0 0 0 0 0 1 0 0 0 0 6 0 0 0 0 3 0 48 0 0 0 4 43 0 22 0 0 18 65 4 0 19 0
"Diospyros_virginia" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 7 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 2 0
"Fagus_grandifolia" 0 43 0 5 0 0 0 0 0 23 109 232 203 0 0 7 0 0 0 1 0 0 0 0 0 0 0 0 38 0 0 8 105 7 0 30 0
"Fargus_grandifolia" 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Frangula_carolinia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"Fraxinus_americana" 28 0 0 0 0 0 0 0 0 0 0 16 0 0 1 1 0 0 0 0 8 2 0 0 0 0 0 2 8 0 0 4 19 0 0 12 0
"Fraxinus_lanceolat" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Fraxinus_nigra" 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 4 0 0 0 0 0
"Fraxinus_pennsylva" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 12 1 0 0 0 21 2 2 0 0 0 0 3 0 1 6 0 0 0 0
"Fraxius_americana" 0 0 0 0 0 0 0 0 0 0 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fraxonum_americana" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gleditsia_triacant" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Halesia_carolina" 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hamamelis_virginia" 0 0 0 2 4 2 0 0 0 187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hammamelis_virgini" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ilex_ambigua" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ilex_decidua" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ilex_montana" 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ilex_monticola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ilex_opaca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 11 0 0 0
"Illex_opaca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Juglans_nigra" 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 8 0 0 0 0 0 0 0
"Juniperus_virginia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0
"Kalmia_latifolia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ligustrum_sinense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Liquidambar_styrac" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 13 0 0 19 3 0 0 0 0 0 0 0 0 0 0 0 0 18 0 3 0 0 0
"Liriodendron_tulip" 37 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 28 0 13 0 0 0 2 10 0 2 0 0 9 6 0 0 43 0
"Lyonia_ferruginea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15
"Magnolia_acuminata" 0 4 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 20 0 0 9 0
"Magnolia_fraseri" 0 4 0 0 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Magnolia_macrophyl" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0
"Magnolia_tripetala" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Magnolia_virginian" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
"Morus_rubra" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0
"Myrica_cerifera" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nyssa_aquatica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nyssa_sylvatica" 16 0 0 0 0 0 0 1 0 0 0 0 0 0 8 0 23 203 1 3 0 20 0 0 0 2 4 0 29 0 0 27 65 1 8 17 0
"Osmanthus_american" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0
"Ostrya_viginiana" 0 0 0 0 0 0 0 0 0 0 0 2 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ostrya_virginiana" 1 0 0 0 0 1 39 0 0 7 1 0 0 0 0 8 0 0 0 1 114 0 0 54 136 0 0 0 3 0 0 0 560 0 0 4 0
"Oxydendron_arboreu" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0
"Oxydendrum_aboreum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0
"Oxydendrum_arboreu" 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 18 0 3 0 0 1 4 12 0 0 0
"Persea_borbonia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0
"Picea_glauca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"Picea_rubens" 0 164 286 245 0 0 0 0 0 0 0 4 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
