<  File:  ENAmTrees.txt  Species:  148 Sites:   37 MatFill: 0.09 Occ:    520 5.000% Confidence limit  Index: c Model: fixed - fixed                      
 
#    No             Sp1                Sp2     S1  S2 Com  Obs.Score  Exp.Score  Exp.StDev   Skewness    LowerCL    UpperCL SigZ-Score      Alpha >MeanScore   >CLScore   >BJScore      Alpha
#  1013 "Quercus_alba"     "Liriodendron_tuli  12  10   9      0.025      0.432      0.163      0.601      0.200      0.825      -2.49 0.01237875      -2.49      -2.49       0.00 1.00000000
#  1016 "Quercus_alba"     "Carya_tomentosa"   12   9   9      0.000      0.461      0.164      0.089      0.167      0.815      -2.82 0.00471103       0.00       0.00      -1.99 0.04650593
#  1017 "Quercus_alba"     "Carya_glabra"      12   9   7      0.093      0.454      0.166      0.348      0.167      0.815      -2.18 0.02912784      -2.18       0.00       0.00 1.00000000
#  1020 "Quercus_alba"     "Sassafras_albidum  12   8   7      0.052      0.454      0.177      0.333      0.125      0.802      -2.27 0.02267414      -2.27      -2.27       0.00 1.00000000
#  1021 "Quercus_alba"     "Oxydendrum_arbore  12   7   6      0.071      0.465      0.182      0.493      0.167      0.786      -2.16 0.03042024      -2.16      -2.16       0.00 1.00000000
#  1024 "Quercus_alba"     "Ulmus_rubra"       12   7   6      0.071      0.485      0.187      0.289      0.167      1.000      -2.21 0.02710229      -2.21      -2.21       0.00 1.00000000
#  1028 "Quercus_alba"     "Quercus_stellata"  12   6   6      0.000      0.498      0.184      0.516      0.222      1.000      -2.70 0.00678682       0.00       0.00       0.00 1.00000000
#  1033 "Quercus_alba"     "Quercus_coccinea"  12   5   5      0.000      0.537      0.235      0.167      0.133      1.000      -2.28 0.02213848       0.00       0.00       0.00 1.00000000
#  1151 "Carya_ovata"      "Quercus_velutina"  11  11   7      0.132      0.424      0.153      0.453      0.207      0.826      -1.91 0.05608940       0.00       0.00       0.00 1.00000000
#  1154 "Carya_ovata"      "Tsuga_canadensis"  11  10   0      1.000      0.438      0.136      0.260      0.182      0.655       4.15 0.00003165       4.15       4.15       3.59 0.00031244
