Species              "X1902"   "X1979"   "X1935"   "X1884"   "X1977"   "X1915"   "X1885"   "X1987"   "X1901"   "X1918"   "X1958"   "X1974"   "X1913"   "X2001"   "X1886"   "X1959"   "X1978"   "X1228"             "X1960"   "X2014"   "X1883"   "X2009"   "X1988"   "X1990"  
"Panthera_tigris"          5.0       0.0       0.0      22.0       0.0       0.0     151.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Capricornis_sumatr"       1.0       0.0       0.0       1.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Viverricula_indica"       0.0       0.0       0.0       0.0      14.0       0.0       0.0       0.0       0.0       6.0       0.0       0.0    1160.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0
"Callosciurus_canic"       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0
"Arctogalidia_trivi"       0.0      40.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       9.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Tragulus_kanchil"        58.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      30.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0
"Presbytis_rubicund"       0.0       7.0       1.0       0.0       0.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Bos_javanicus"            0.0       0.0      23.0       0.0      52.0       0.0       0.0       0.0       0.0      65.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Sundamys_muelleri"        1.0       4.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Rattus_exulans"           0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      11.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Rheithrosciurus_ma"       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Rhinosciurus_latic"       1.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Lutrogale_perspici"       0.0       0.0       0.0       0.0      10.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Mustela_kathiah"          0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0      18.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Homo_sapiens"             0.0       0.0       0.0      49.0       0.0      53.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Felis_catus"              0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0     231.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0
