"X1882" "X1889" "X1890" "X1892" "X1893" "X1894" "X1906" "X1907" "X1908" "X1909" "X1911" "X1912" "X1916" "X1920" "X1921" "X1922" "X1924" "X1925" "X1926" "X1927" "X1929" "X1930" "X1933" "X1938" "X1941" "X1943" "X1944" "X1952" "X1964" "X1965" "X1966" "X1972" "X1975" "X1976" "X1980" "X1981" "X1983" "X1985" "X1994" "X1997" "X1999" "X2000" "X2010" "X2011" "X2013" "X2016" "X2017" "X2019" "X2020"
"Dasyprocta_lepor" 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 141 0 0 0 0 0 0 0 0 0 1 0
"Dasyprocta_mexic" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dasyprocta_punct" 0 0 0 0 0 98 0 0 0 0 0 0 0 0 0 0 0 0 125 0 0 18 12 0 0 405 668 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0
"Dasypus_hybridus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0
"Dasypus_kappleri" 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0
"Dasypus_novemcin" 2 8 3 1 2 3 53 11 4 1 13 0 76 1 0 0 0 0 1 27 1 1 0 2 4 46 32 0 0 0 0 0 0 0 0 3 35 2 0 0 8 0 1 47 47 1 0 6 2
"Didelphis_albive" 0 0 1 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 1 0 0 0 0
"Didelphis_aurita" 0 0 0 8 7 0 0 0 0 0 0 0 1283 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 17 0 0 0 0 0 0 0 0 0 0 0 36 26
"Didelphis_marsup" 0 0 0 0 0 37 0 0 0 0 8 0 0 0 0 0 0 0 9 0 0 0 0 0 0 122 173 0 0 0 0 0 0 0 0 0 23 3 0 0 0 0 7 0 0 0 0 0 0
"Didelphis_virgin" 0 0 0 0 0 0 0 0 0 20 0 0 0 10 4 385 22 5 0 28 0 0 0 0 0 0 0 0 0 0 0 88 0 0 0 0 0 0 0 4 1 0 0 0 0 0 0 0 0
"Eira_barbara" 0 0 2 1 9 11 0 0 0 0 0 0 68 0 0 0 0 0 0 0 0 1 63 1 0 5 1 0 4 0 0 0 0 0 1 1 23 7 1 0 0 0 1 0 0 1 0 44 8
"Equus_africanus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Equus_ferus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 137 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Erethizon_dorsat" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Euphractus_sexci" 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 2
"Euryoryzomys_leg" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Felis_catus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 352 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3
"Galictis_vittata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Homo_sapiens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 351 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hydrochoerus_hyd" 0 0 3 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 1 0 0 0
"Leontopithecus_c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 379 120
"Leopardus_coloco" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"Leopardus_geoffr" 0 0 0 0 0 0 15 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
