"X1193" "X1202" "X1246" "X1248" "X1340" "X1342" "X1381" "X1382" "X1397" "X1421" "X1422" "X1423" "X1443" "X1661" "X1797" "X1803" "X1825" "X1826" "X1827" "X1832" "X1842" "X1846" "X1852" "X1856" "X1893" "X1941" "X2360"
"Oecomys_concolor" 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0
"Oecomys_mamorae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 343 0 0 0
"Oecomys_trinitatis" 0 0 0 0 0 0 4 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oligoryzomys_chaco" 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oligoryzomys_flave" 0 0 0 0 0 19 0 0 0 222 204 227 0 0 0 0 0 0 6 0 0 0 52 0 0 0 0
"Oligoryzomys_forne" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 9 0 0 0 0 0
"Oligoryzomys_nigri" 17 295 5 7 18 0 0 0 7 122 42 130 0 42 41 0 7 2 2 5 6 0 0 0 0 0 0
"Oryzomys_nigripes" 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oxymycterus_dasytr" 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
"Oxymycterus_delato" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0
"Oxymycterus_nasutu" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 139 0 0 0 0 0 0 0 0
"Oxymycterus_robert" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0
"Oxymycterus_rufus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0
"Philander_frenatus" 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phyllomys_nigrispi" 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Phyllotis_xanthopy" 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Proechimys_longica" 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0
