"X587" "X588" "X593" "X597" "X598" "X638" "X667" "X668" "X669" "X670" "X674" "X680" "X689" "X964" "X966" "X1566" "X1567"
"Canthon_pilulari" 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0
"Canthon_praticol" 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"Canthon_punctico" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Canthon_vigilans" 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"Canthon_viridis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"Chilothorax_dist" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"Colobopterus_err" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"Copris_fricator" 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 1
"Copris_minutus" 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0
"Copris_moechus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Copris_tullius" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Deltochilum_gibb" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Dialytes_truncat" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Dichotomius_caro" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Dichotomius_colo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Didactylia_knaus" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Digitonthophagus" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"Euoniticellus_in" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"Geotrupes_blackb" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Geotrupes_egerie" 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Geotrupes_opaca" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Geotrupes_opacus" 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Geotrupes_semiop" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Geotrupes_splend" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Glaphyrocanthon_" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"Melanocanthon_bi" 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"Melanocanthon_gr" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Melanocanthon_ni" 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Melinopterus_pro" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Onthophagus_allu" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
"Onthophagus_gaze" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0
"Onthophagus_heca" 1 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1 1
"Onthophagus_knul" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Onthophagus_medo" 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"Onthophagus_mexi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Onthophagus_nuch" 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0
"Onthophagus_okla" 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"Onthophagus_orph" 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1
"Onthophagus_penn" 1 1 1 1 1 1 1 1 0 0 1 0 1 0 0 0 1
"Onthophagus_shae" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"Onthophagus_stri" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
"Onthophagus_taur" 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1
"Onthophagus_tube" 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
"Otophorus_haemor" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Phanaeus_difform" 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"Phanaeus_igneus" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phanaeus_vindex" 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"Planolinellus_vi" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Pseudagolius_col" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Pseudocanthon_pe" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0
"Sphaeridium_luna" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Sphaeridium_scar" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Teuchestes_fosso" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"Trox_hamatus" 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1
