Species              "X667"    "X588"    "X680"    "X593"    "X598"    "X638"    "X689"              "X964"    "X674"    "X668"    "X597"    "X670"    "X1567"   "X669"    "X1566"   "X966"   
"Aphodius_colorad"         0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Aphodius_distinc"         0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Canthon_praticol"         0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Ataenius_spretul"         0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0
"Canthon_viridis"          0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0
"Onthophagus_shae"         0.0       0.0       0.0       0.0       1.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Onthophagus_stri"         0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0
"Chilothorax_dist"         0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Colobopterus_err"         0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Aphodius_campest"         0.0       1.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Phanaeus_igneus"          0.0       1.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Aphodius_prodrom"         0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
