Species              "X1906"   "X1994"   "X1938"   "X1941"   "X1911"   "X1929"   "X1999"             "X1985"   "X2016"   "X1921"   "X1927"   "X1943"   "X1894"   "X2020"   "X1972"   "X1933"   "X1912"   "X1893"   "X1907"   "X1889"   "X1983"   "X1975"   "X1997"   "X1980"   "X1892"   "X1924"   "X1930"   "X1922"   "X2011"   "X1916"   "X2017"   "X1920"   "X1908"   "X2013"   "X1890"   "X1944"   "X2000"   "X1952"   "X1965"   "X1925"   "X1981"   "X1976"   "X1909"   "X1966"   "X1926"   "X1964"   "X2010"   "X2019"  
"Pecari_tajacu"           42.0      77.0       5.0       3.0      44.0     139.0       4.0       0.0       4.0       0.0      22.0      24.0       1.0      38.0       0.0       0.0       7.0      85.0       1.0       0.0       3.0       0.0       0.0      19.0       0.0       0.0       0.0       4.0       0.0       3.0       2.0       0.0       0.0       0.0       0.0       7.0       0.0      71.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Puma_concolor"           25.0      15.0       1.0       1.0      47.0       6.0      26.0       0.0       0.0       0.0      50.0       0.0       6.0       0.0       0.0       8.0       5.0       0.0       0.0       0.0       1.0       2.0       0.0       0.0       0.0       9.0       0.0      25.0       0.0       0.0       1.0      26.0       0.0       0.0       5.0       2.0       0.0       0.0       0.0       0.0       0.0       6.0       4.0       0.0       9.0       0.0       0.0       0.0       0.0
"Procyon_cancrivo"         1.0       2.0       0.0       0.0       0.0       0.0       0.0      25.0       0.0       8.0       0.0       0.0       0.0      21.0      13.0       0.0       0.0       0.0       2.0       6.0       3.0       5.0       0.0       0.0       0.0       6.0       0.0       0.0       0.0       0.0       0.0       3.0       4.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       6.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Nasua_nasua"              4.0       2.0       2.0       2.0       0.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0       2.0      26.0      31.0       0.0       0.0       1.0       2.0       0.0       0.0       3.0       0.0      12.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      39.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Canis_lupus"              0.0       0.0       7.0       0.0       0.0       0.0       0.0      66.0       0.0       0.0       0.0       0.0       0.0       0.0      21.0      89.0       0.0       0.0       3.0       0.0       0.0      19.0      10.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0      15.0      61.0       0.0       0.0       0.0      61.0       0.0      68.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0
"Sylvilagus_brasi"         3.0       0.0      72.0       7.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       1.0      29.0     105.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      36.0       0.0       1.0       0.0      10.0       0.0       0.0       0.0       0.0       0.0       9.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0
"Tapirus_terrestr"       102.0      12.0       2.0      23.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      20.0      15.0       0.0       0.0       0.0     305.0       0.0       0.0       2.0       0.0       0.0       8.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0      17.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Leopardus_wiedii"        15.0       2.0       5.0       2.0       4.0       0.0       0.0       0.0       1.0      27.0       5.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Panthera_onca"           51.0      14.0       0.0       3.0      11.0       1.0      20.0       0.0       0.0       0.0      13.0       0.0       9.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0      19.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Puma_yagouaround"         2.0       0.0       4.0       1.0       0.0       0.0       0.0       0.0       0.0       5.0       1.0       1.0       2.0      14.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Mazama_gouazoubi"        53.0       0.0      22.0      24.0       0.0       0.0       0.0       0.0       0.0      72.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       3.0      24.0       0.0       5.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      15.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0
"Tamandua_tetrada"         4.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       6.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       1.0       0.0       0.0       1.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Sylvilagus_flori"         0.0       0.0       0.0       0.0      91.0       6.0      29.0       0.0       0.0       0.0     101.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0     130.0       0.0       0.0       0.0     350.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       3.0       0.0       0.0      12.0
"Urocyon_cinereoa"         0.0       0.0       0.0       0.0      66.0       1.0      88.0       0.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      39.0       0.0       0.0       0.0       8.0       5.0       5.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      34.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Myrmecophaga_tri"         2.0       7.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       4.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       2.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Nasua_narica"             0.0       0.0       0.0       0.0     174.0      68.0       6.0       0.0      33.0       0.0      10.0      51.0       0.0       0.0       0.0       0.0      10.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      58.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Didelphis_marsup"        37.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0      23.0       0.0       0.0       9.0       0.0       0.0       0.0       0.0       0.0       8.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       7.0       0.0       0.0       0.0       0.0       0.0       0.0     122.0       0.0     173.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
